group	species	sp_candidates
phylloxera	Daktulosphaira_vitifoliae	6501
adelgid	Adelges_cooleyi	6049
aphid	Acyrthosiphon_pisum	3315
aphid	Acyrthosiphon_pisum_JIC	2429
aphid	Aphis_craccivora	1648
aphid	Aphis_fabae	1882
aphid	Aphis_gossypii	3001
aphid	Aphis_rumicis	1828
aphid	Aphis_thalictri	1837
aphid	Brachycaudus_helichrysi	1861
aphid	Brachycaudus_klugkisti	1770
aphid	Cinara_cedri	199
aphid	Diuraphis_noxia	1779
aphid	Drepanosiphum_platanoidis	2195
aphid	Eriosoma_laniyerum	1262
aphid	Hamadryas_cornu	2079
aphid	Macrosiphum_euphorbiae	2363
aphid	Melanaphis_sacchari	2316
aphid	Metopolophium_dirhodum	2990
aphid	Myzus_cerasi	1259
aphid	Myzus_persicae	2661
aphid	Myzus_varians	1804
aphid	Nasonovia_ribisnigri	1900
aphid	Neotoxoptera_formosana	1903
aphid	Pentalonia_nigronervosa	1654
aphid	Pseudoregma_acericola	2084
aphid	Rhopalosiphum_maidis	2612
aphid	Rhopalosiphum_padi	2730
aphid	Sitobion_avenae	1966
aphid	Stomaphis_chinensis	1887
aphid	Therioaphis_trifolii	2155
aphid	Tuberocephalus_akinire	1908
aphid	Tuberolachnus_salignus	1402
planthopper	Nilaparvata_lugens	4179
leafhopper	Homalodisca_vitripennis	4528
leafhopper	Macrosteles_quadrilineatus	5170
lanternfly	Lycorma_delicatula	3669
psyllid	Diaphorina_citri	2133
whitefly	Bemisia_tabaci_MEAM1	3779
mealybug	Planococcus_citri	5014
stink_bug	Halyomorpha_halys	3734
mirid_bug	Apolygus_lucorum	2560
bed_bug	Cimex_lectularius	3188
kissing_bug	Rhodnius_prolixus	4225
outgroup_thrips	Frankliniella_occidentalis	3727
outgroup_thrips	Thrips_palmi	3306
outgroup_hym	Apis_mellifera	2829
outgroup_psocodea	Pediculus_humanus	707
